protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
Syx,Ox_500uM_H2O2,1,1,0.3,10,493,275,218,186,0.23967897921047776,0.42957023415419154,-0.6203738664171323,13.0
Syx,control,1,1,0.3,10,893,514,379,329,0.2817123006083075,0.5719244869421514,-0.5501941896855699,14.0
Syx,500uM_H2O2_30min,1,2,0.3,10,2187,754,1433,1237,0.3562918460812963,0.7507202176242395,-0.44819411658364533,13.0
Syx,Ox_500uM_H2O2,1,2,0.3,10,2271,968,1303,1131,0.3571824847639749,0.7667907078952122,-0.44710984585532576,14.0
Syx,control,1,2,0.3,10,3537,817,2720,2398,0.4802707667543173,0.8638739161808309,-0.3185140521100406,15.0
Syx,500uM_H2O2_30min,1,3,0.3,10,3276,516,2760,2357,0.3250636761910505,0.6401067827870831,-0.4880315574529558,14.0
Syx,Ox_500uM_H2O2,1,3,0.3,10,923,243,680,584,0.3015894041968784,0.7114006485794645,-0.5205839823474696,14.0
Syx,control,1,3,0.3,10,2602,610,1992,1745,0.357171364175217,0.7679877486089844,-0.4471233674744523,15.0
Syx,500uM_H2O2_30min,2,1,0.3,10,564,215,349,310,0.10856809805710119,0.1496080904377778,-0.9643011706801928,16.0
Syx,Ox_500uM_H2O2,2,1,0.3,10,880,128,752,672,0.13594004459077763,0.18482672434727632,-0.8666530731061234,17.5
Syx,control,2,1,0.3,10,2209,463,1746,1588,0.13751824572363364,0.19972646736534672,-0.8616396764493384,15.0
Syx,500uM_H2O2_30min,2,2,0.3,10,905,602,303,267,0.16700810827159351,0.25014350859768575,-0.7772624432708136,15.0
Syx,Ox_500uM_H2O2,2,2,0.3,10,683,221,462,386,0.12474219997527992,0.20533321370953347,-0.9039888926075561,17.0
Syx,control,2,2,0.3,10,676,33,643,566,0.1754362392214871,0.2637641899119296,-0.7558808457150512,14.0
Syx,500uM_H2O2_30min,2,3,0.3,10,1318,422,896,799,0.21994393379051194,0.4153114129407075,-0.6576880116713755,15.0
Syx,Ox_500uM_H2O2,2,3,0.3,10,919,137,782,664,0.2060717683884394,0.31778292745835435,-0.6859817940162605,17.0
Syx,control,2,3,0.3,10,1639,295,1344,1244,0.25600639210998716,0.36958023035412013,-0.5917493088092742,15.0
Syx,500uM_H2O2_30min,3,1,0.3,10,2578,471,2107,1827,0.24525842309832607,0.43769293519147023,-0.6103760683830546,15.0
Syx,Ox_500uM_H2O2,3,1,0.3,10,2305,142,2163,1938,0.2539906156647762,0.3905459069168895,-0.5951824049180877,16.0
Syx,control,3,1,0.3,10,1274,483,791,686,0.2149212177636715,0.37827690749612697,-0.6677207127402629,15.0
Syx,500uM_H2O2_30min,3,2,0.3,10,956,516,440,409,0.20663623279587529,0.33242433123943843,-0.6847935244251244,16.0
Syx,Ox_500uM_H2O2,3,2,0.3,10,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.3,10,2261,478,1783,1594,0.19474633194315266,0.31770358557427464,-0.7105307464139755,16.0
Syx,500uM_H2O2_30min,3,3,0.3,10,1735,415,1320,1160,0.22844325655071934,0.37577120015055365,-0.6412233890892574,16.0
Syx,Ox_500uM_H2O2,3,3,0.3,10,1018,570,448,397,0.21743526524495224,0.41981372294358543,-0.6626700174749844,16.0
Syx,control,3,3,0.3,10,1238,328,910,812,0.2457342054218139,0.4153051106728818,-0.6095344277555745,16.0
SNAP25,500uM_H2O2_30min,1,1,0.3,15,2601,451,2150,1152,0.4125438912997613,0.5433232837068702,-0.38452986540581663,21.0
SNAP25,Ox_500uM_H2O2,1,1,0.3,15,2801,403,2398,1329,0.45191589299810553,0.5746892021813974,-0.34494238511268505,22.0
SNAP25,control,1,1,0.3,15,2334,368,1966,1127,0.45690046328486383,0.5374887645256468,-0.3401784015810691,22.0
SNAP25,500uM_H2O2_30min,1,2,0.3,15,1295,763,532,226,0.4636276633140487,0.6819678123685229,-0.33383534387052705,22.0
SNAP25,Ox_500uM_H2O2,1,2,0.3,15,1023,267,756,447,0.4729507513236085,0.5963587127290013,-0.3251840802811205,23.0
